Frame,TotalDetected,TotalMatched,FrameTime_ms,DetectTime_ms,MatchTime_ms
553,1000,999,692.815,416.547,19.232
554,1000,1000,687.246,406.858,19.912
555,1000,42,690.364,412.004,19.651
556,1000,994,690.983,416.499,19.309
557,1000,25,724.567,420.764,19.450
558,1000,997,703.782,410.209,27.589
559,1000,1000,745.387,462.994,19.756
560,1000,35,715.032,420.908,20.498
561,1000,1000,691.735,408.989,19.680
562,1000,38,702.857,411.634,19.596
563,1000,999,693.335,414.396,19.319
564,1000,26,700.091,409.612,20.069
565,1000,1000,692.262,413.671,19.188
566,1000,1000,688.679,410.266,19.064
567,1000,22,688.634,407.126,19.615
568,1000,999,682.583,405.708,19.407
569,1000,21,711.138,422.444,19.937
570,1000,573,689.644,406.892,19.498
571,1000,1000,696.450,409.878,19.634
572,1000,22,696.645,408.752,19.438
573,1000,1000,678.947,403.180,19.240
574,1000,27,687.672,402.268,19.626
575,1000,993,690.160,407.807,19.425
576,1000,26,682.840,396.278,19.852
577,1000,989,680.427,396.568,19.421
578,1000,1000,683.126,399.064,19.640
579,1000,30,697.629,413.835,19.082
580,1000,999,677.657,397.660,19.923
581,1000,30,685.351,400.878,19.096
582,1000,996,672.457,391.258,19.324
583,1000,994,675.560,400.608,19.377
584,1000,32,691.424,409.642,19.625
585,1000,999,681.522,405.339,19.447
586,1000,22,693.497,409.870,19.788
587,1000,1000,670.988,396.288,19.541
588,1000,28,674.624,391.696,19.800
589,1000,1000,677.879,398.103,19.155
590,1000,1000,675.937,399.428,19.700
591,1000,31,684.559,399.110,19.538
592,1000,997,682.959,408.216,19.715
593,1000,35,690.338,403.216,19.690
594,1000,1000,678.067,398.175,19.626
595,1000,1000,676.884,400.065,19.858
596,1000,16,696.385,394.773,21.911
597,1000,993,667.368,390.962,19.405
598,1000,26,681.047,399.319,19.834
599,1000,999,675.100,395.850,19.311
600,1000,24,695.341,403.985,19.525
601,1000,1000,684.700,403.084,19.480
602,1000,1000,674.396,395.246,19.548
603,1000,21,689.379,402.316,20.859
604,1000,1000,667.003,388.824,20.329
605,1000,23,678.347,394.076,21.070
606,1000,1000,671.079,387.382,20.753
607,1000,1000,665.076,389.726,19.588
608,1000,17,687.229,402.636,19.424
609,1000,997,662.451,384.517,19.449
610,1000,20,673.254,387.887,19.856
611,1000,999,667.117,388.246,19.742
612,1000,25,671.487,388.724,19.489
613,1000,999,652.981,376.878,19.668
614,1000,1000,672.216,395.219,19.623
615,1000,26,682.980,391.680,19.453
616,1000,991,670.730,385.304,19.532
617,1000,33,667.807,384.826,20.334
618,1000,996,666.919,389.902,19.256
619,1000,1000,665.215,388.068,19.895
620,1000,19,669.795,383.052,19.330
621,1000,990,666.236,389.967,20.128
622,1000,22,679.040,386.619,19.247
623,1000,997,677.521,399.076,19.779
624,1000,26,668.434,389.026,19.604
625,1000,992,677.684,398.639,19.976
626,1000,998,655.630,379.689,19.758
627,1000,24,666.167,382.680,20.425
628,1000,994,657.706,378.427,19.702
629,988,31,669.263,386.838,19.486
630,976,504,674.280,396.367,18.525
631,976,976,654.732,378.518,19.142
632,984,26,676.176,391.021,19.174
633,983,973,672.693,396.907,19.311
634,962,15,664.668,383.926,18.231
635,960,943,654.703,380.407,18.015
636,994,20,670.533,389.108,18.561
637,996,974,689.250,388.458,19.285
638,996,995,664.442,389.887,19.594
639,986,30,666.259,387.778,19.264
640,985,967,664.687,391.916,18.463
641,966,11,670.985,390.813,19.670
642,966,955,666.474,392.974,18.145
643,966,966,662.725,389.042,18.224
644,957,19,665.704,388.886,17.888
645,956,940,693.784,411.536,17.797
646,958,13,678.535,396.560,18.349
647,957,942,678.320,397.335,17.683
648,951,28,696.317,408.113,18.141
649,951,948,725.074,440.148,17.844
650,951,951,693.395,411.146,17.477
651,937,28,686.898,409.172,17.641
652,936,924,698.989,414.135,17.046
653,937,25,668.159,391.298,16.878
654,937,931,671.117,394.908,17.395
655,937,937,666.392,386.349,17.143
656,938,23,663.035,387.144,17.093
657,938,935,669.023,394.216,17.220
658,959,23,684.836,405.313,17.949
659,959,958,676.306,390.992,17.931
660,968,14,673.066,393.655,17.813
661,968,968,664.519,388.650,18.567
662,968,968,680.802,401.062,18.352
663,957,23,686.880,405.763,18.128
664,957,949,694.118,403.555,17.951
665,918,18,728.501,447.161,17.295
666,918,910,682.719,403.972,16.730
667,918,918,682.351,409.770,16.508
668,917,11,683.165,408.001,16.447
669,916,909,687.615,406.009,18.659
670,908,23,681.727,403.754,16.291
671,908,899,684.850,409.812,16.122
672,885,25,685.604,408.712,16.380
673,885,883,674.973,403.377,15.243
674,885,885,689.891,419.009,15.484
675,901,20,685.865,407.244,16.367
676,901,897,676.422,402.154,16.020
677,888,22,688.322,403.223,15.565
678,888,886,677.465,409.310,15.467
679,888,888,674.274,400.434,15.463
680,927,31,683.010,401.909,16.928
681,927,923,688.355,414.051,17.947
682,910,18,685.773,409.412,16.831
683,910,904,696.759,412.751,17.180
684,937,28,683.090,407.115,17.454
685,938,925,687.498,406.013,18.770
686,938,934,688.540,408.499,17.064
687,948,23,687.036,407.745,17.628
688,948,938,703.688,413.569,17.654
689,940,30,712.934,428.201,17.922
690,939,502,680.709,406.286,17.541
691,939,939,679.404,402.394,17.476
692,943,34,689.797,409.265,17.719
693,943,942,684.950,407.243,17.460
694,957,18,687.965,410.166,17.750
695,957,942,699.511,413.880,17.979
696,968,33,696.518,411.166,18.859
697,969,956,683.853,404.494,18.751
698,969,969,673.898,400.129,18.624
699,980,32,696.033,414.567,18.686
700,979,953,691.707,415.901,18.475
701,1000,36,692.665,407.507,19.038
702,1000,994,689.298,410.263,19.723
703,1000,998,694.789,415.392,19.603
704,1000,32,687.081,398.866,20.392
705,1000,981,690.020,409.854,19.187
706,987,42,700.482,405.949,21.126
707,988,980,705.351,424.681,18.921
708,994,34,692.933,409.988,18.949
709,994,990,686.207,410.852,19.830
710,994,992,693.398,414.342,20.970
711,1000,37,698.467,408.075,20.156
712,1000,988,684.152,408.103,19.151
713,1000,40,699.214,414.607,19.567
714,1000,998,698.320,420.012,19.438
715,1000,1000,689.560,409.904,19.481
716,1000,40,699.160,414.457,19.658
717,1000,995,702.871,422.947,20.822
718,1000,39,704.999,419.931,19.535
719,1000,996,686.947,409.760,19.145
720,1000,27,688.411,408.070,19.853
721,1000,997,686.556,406.031,19.203
722,1000,1000,684.150,404.272,19.715
723,1000,41,703.457,420.888,19.926
724,1000,996,690.721,413.316,19.491
725,1000,40,705.182,418.286,19.334
726,1000,1000,685.938,412.182,19.902
727,1000,1000,691.138,414.635,19.637
728,1000,32,712.905,428.759,19.273
729,1000,996,706.171,428.174,19.731
730,1000,36,716.679,431.948,19.813
731,1000,998,703.099,416.889,19.462
732,1000,29,701.499,413.924,19.996
733,1000,1000,694.537,418.103,19.993
734,1000,1000,686.911,409.438,19.715
735,1000,32,699.730,415.001,19.465
736,1000,999,716.829,433.977,20.609
737,1000,38,690.086,410.358,19.428
738,1000,999,702.126,411.253,19.771
739,1000,1000,690.028,414.161,20.209
