Frame,Cell0_Detected,Cell1_Detected,Cell2_Detected,Cell3_Detected,Cell0_Matched,Cell1_Matched,Cell2_Matched,Cell3_Matched,Cell0_ProcTime_ms,Cell1_ProcTime_ms,Cell2_ProcTime_ms,Cell3_ProcTime_ms
248,153,250,250,250,6,7,2,3,151.415,173.419,174.105,175.696
249,153,250,250,250,153,250,250,250,141.948,174.452,174.151,174.652
250,163,250,250,250,1,6,3,5,151.016,182.077,179.814,175.013
251,163,250,250,250,163,250,249,250,141.341,168.114,170.186,168.231
252,190,250,250,250,1,3,7,1,155.417,168.943,170.341,166.561
253,190,250,250,250,190,250,250,248,154.682,173.883,168.708,172.031
254,190,250,250,250,190,250,250,250,146.436,172.268,168.856,172.784
255,188,250,250,250,5,3,8,2,153.829,172.078,168.054,170.756
256,188,250,250,250,188,250,250,250,147.01,171.296,172.969,172.367
257,176,250,250,250,3,0,6,2,147.495,175.702,177.912,177.663
258,176,250,250,250,176,250,250,250,144.781,168.03,169.118,172.547
259,176,250,250,250,176,250,250,250,149.124,171.879,171.06,167.693
260,183,250,250,250,4,5,7,5,150.494,176.426,174.139,174.963
261,185,250,250,250,183,250,250,250,149.087,171.662,169.482,171.696
262,175,250,250,250,3,11,10,6,148.728,174.469,170.762,181.74
263,175,250,250,250,174,250,250,249,152.891,170.711,173.756,173.335
264,184,250,250,250,2,7,18,7,148.33,178.227,171.79,175.685
265,184,250,250,250,184,249,250,250,151.08,183.622,166.283,168.347
266,184,250,250,250,184,250,250,250,149.462,167.776,173.542,170.494
267,169,250,250,250,2,5,7,5,146.892,173.726,170.425,171.086
268,169,250,250,250,168,250,250,250,144.661,171.032,167.694,166.511
269,172,250,250,250,2,5,8,10,148.812,175.563,180.91,172.953
270,173,250,250,250,67,126,133,121,148.954,176.644,172.227,176.337
271,173,250,250,250,172,250,250,250,146.972,193.31,173.452,171.997
272,180,250,250,250,5,10,6,4,166.727,176.734,178.916,187.439
273,180,250,250,250,179,250,249,250,147.944,169.774,165.33,176.268
274,183,250,250,250,5,5,4,3,160.755,177.728,178.679,175.573
275,183,250,250,250,183,250,248,250,163.793,173.394,170.97,171.425
276,163,250,250,250,1,12,8,10,155.152,186.613,188.695,180.803
277,163,250,250,250,160,247,246,247,154.952,176.945,174.257,174.571
278,163,250,250,250,163,250,249,249,145.979,175.206,171.511,171.93
279,178,250,250,250,2,6,4,12,152.65,172.675,175.818,170.807
280,179,250,250,250,172,249,244,250,146.267,173.121,165.988,172.648
281,168,250,250,250,1,6,5,7,145.546,170.442,170.296,170.12
282,168,250,250,250,167,250,250,250,150.175,169.022,169.488,168.121
283,168,250,250,250,168,250,250,250,138.048,166.331,170.618,173.993
284,199,250,250,250,2,2,4,4,152.298,169.763,169.229,170.078
285,199,250,250,250,197,249,247,247,170.846,177.094,176.527,178.325
286,190,250,250,250,2,5,8,2,156.641,191.811,177.249,187.322
287,190,250,250,250,189,250,248,246,155.131,170.129,172.983,204.22
288,189,250,250,250,0,8,1,4,168.643,193.227,193.936,191.987
289,189,250,250,250,185,250,250,248,163.623,182.275,169.676,174.77
290,189,250,250,250,189,250,250,250,165.085,190.363,187.909,192.95
291,161,250,250,250,3,4,4,3,154.548,181.858,176.167,190.537
292,161,250,250,250,159,250,249,244,145.78,179.233,171.883,173.929
293,171,250,250,250,3,18,1,2,160.675,196.344,203.53,192.122
